date,time,stock_symbol,stock_exchange,sector,headline_id,category,source,sentiment,impact_score,confidence_score,affected_symbols
2025-07-07,12:10:45,DK,BATS,Industrial,H0919,Product Launch,Reuters,Negative,0.13,0.65,BTE
2025-07-07,16:41:59,CF,NYSE ARCA,Technology,H0920,Product Launch,Reuters,Neutral,0.554,0.6,LESL;INVH;NVDL;ARDX
2025-07-07,14:48:00,KTOS,NYSE,Industrial,H0921,Rumor,Benzinga,Negative,0.634,0.83,VLO;LULU;BBJP;NVTS
2025-07-07,16:48:20,EXR,BATS,Technology,H0922,Leadership Change,CNBC,Positive,0.163,0.89,HRTG
2025-07-07,13:07:43,NAK,NYSE ARCA,Telecom,H0923,M&A,Social Media,Positive,0.749,0.5,FBTC;CHX;BXP
2025-07-07,16:33:42,GTES,LSE,Healthcare,H0924,Product Launch,Social Media,Neutral,0.987,0.83,LMND
2025-07-07,13:03:53,PAGP,NYSE MKT,Energy,H0925,Rumor,Social Media,Negative,0.333,0.51,OTIS;CTVA;CWEN;BSY;TOST
2025-07-07,11:27:55,DENN,NYSE MKT,Consumer Discretionary,H0926,Product Launch,CNBC,Negative,0.202,0.8,CRNT;BE;VIPS
2025-07-07,11:55:02,UNP,NYSE MKT,Technology,H0927,Earnings,WSJ,Neutral,0.68,0.51,TPR;JPST;GDXJ;RITM;ING
2025-07-07,11:10:24,MDU,NYSE ARCA,Utilities,H0928,Macroeconomic,CNBC,Negative,0.848,0.97,KROS;MFG
2025-07-07,11:39:17,HEFA,LSE,Consumer Discretionary,H0929,M&A,CNBC,Negative,0.927,0.8,NITO;SPYU;XLV
2025-07-07,14:25:46,GPK,LSE,Technology,H0930,Regulation,WSJ,Positive,0.908,0.73,DBRG
2025-07-07,15:01:38,EGO,NYSE,Telecom,H0931,Leadership Change,WSJ,Negative,0.754,0.8,
2025-07-07,09:28:51,CEVA,NYSE MKT,Utilities,H0932,Earnings,Reuters,Negative,0.613,0.92,AU;BBY
2025-07-07,11:13:53,ETH,NYSE,Energy,H0933,Leadership Change,Reuters,Positive,0.195,0.54,UNIT;IRM;EPD;UMAC
2025-07-07,10:39:48,BCS,LSE,Healthcare,H0934,Product Launch,Social Media,Positive,0.293,0.62,ATUS;KDP;IWD;LDI
2025-07-07,12:52:35,IYR,NASDAQ,Technology,H0935,Regulation,Reuters,Negative,0.42,0.6,
2025-07-07,09:49:57,TBLA,LSE,Healthcare,H0936,Rumor,Bloomberg,Positive,0.132,0.76,MBC;RWM;PFGC;ZI;FSLY
2025-07-07,09:49:57,IWF,LSE,Healthcare,H0936,Rumor,Bloomberg,Positive,0.132,0.76,CELH;HGV
2025-07-07,09:49:57,POST,LSE,Healthcare,H0936,Rumor,Bloomberg,Positive,0.132,0.76,FAS;EVH
2025-07-07,12:23:38,PAAS,BATS,Industrial,H0937,Regulation,CNBC,Negative,0.204,0.56,PULS;FIVN;APP
2025-07-07,13:38:57,PLTK,NYSE,Industrial,H0938,M&A,Bloomberg,Negative,0.856,0.61,HPE;CORT;AVY
2025-07-07,14:02:33,RCUS,NASDAQ,Technology,H0939,Regulation,Reuters,Positive,0.162,0.53,EWZ;MSTZ;INTU
2025-07-07,09:52:53,IAUX,NYSE MKT,Real Estate,H0940,Leadership Change,CNBC,Negative,0.556,0.5,QRVO;RF;LU
2025-07-07,09:49:19,RCAT,BATS,Technology,H0941,Rumor,Reuters,Positive,0.184,0.83,ICLR;SEI;FOXO;BNTX
2025-07-07,14:31:38,APG,NYSE MKT,Consumer Discretionary,H0942,Macroeconomic,Reuters,Neutral,0.901,0.89,META;AWK;HI;KIM
2025-07-07,14:35:53,VT,NASDAQ,Energy,H0943,Product Launch,CNBC,Negative,0.766,0.92,URNM;BDX
2025-07-07,10:07:30,ORLA,NASDAQ,Consumer Discretionary,H0944,Leadership Change,CNBC,Neutral,0.284,0.93,
2025-07-07,14:31:10,BITO,NYSE MKT,Finance,H0945,Leadership Change,CNBC,Neutral,0.466,0.56,NCNO;CPRT;NRDS;IMVT;WLK
2025-07-07,12:28:17,ARM,BATS,Utilities,H0946,Leadership Change,CNBC,Negative,0.587,0.51,ETH;BUD;MSTY;ATAI
2025-07-07,14:20:54,TROX,LSE,Real Estate,H0947,Macroeconomic,Reuters,Negative,0.595,0.86,
2025-07-07,13:45:53,CLF,LSE,Real Estate,H0948,Regulation,CNBC,Positive,0.836,0.75,SCHZ;EYE
2025-07-07,12:05:52,MRCY,NYSE ARCA,Technology,H0949,M&A,Social Media,Positive,0.394,0.84,
2025-07-07,15:14:22,BTU,LSE,Technology,H0950,Product Launch,Benzinga,Neutral,0.72,0.63,DYNF;CFG;KNX;CTSH;AVDL
2025-07-07,11:35:58,CRWD,NYSE ARCA,Energy,H0951,Leadership Change,Bloomberg,Negative,0.937,0.91,SMH;GEHC;SEDG;RNG;EWU
2025-07-07,11:35:58,LYEL,NYSE ARCA,Energy,H0951,Leadership Change,Bloomberg,Negative,0.937,0.91,MAN;SPDW;ROK;SMCX
2025-07-07,11:35:58,POST,NYSE ARCA,Energy,H0951,Leadership Change,Bloomberg,Negative,0.937,0.91,LSCC;ON;NI;RSI
2025-07-07,11:35:58,VRN,NYSE ARCA,Energy,H0951,Leadership Change,Bloomberg,Negative,0.937,0.91,
2025-07-07,09:30:12,GE,NYSE MKT,Utilities,H0952,Regulation,Benzinga,Positive,0.711,0.79,BCS
2025-07-07,12:49:14,TME,NASDAQ,Energy,H0953,Product Launch,Benzinga,Negative,0.772,0.98,TDUP;PACB;GNLN;SPSM
2025-07-07,12:49:14,VTRS,NASDAQ,Energy,H0953,Product Launch,Benzinga,Negative,0.772,0.98,EAT
2025-07-07,14:05:37,CI,NYSE MKT,Industrial,H0954,Regulation,CNBC,Positive,0.716,0.5,
2025-07-07,10:06:51,IEI,NASDAQ,Consumer Discretionary,H0955,Product Launch,CNBC,Positive,0.126,0.99,MS;CENX;GFL
2025-07-07,13:13:08,UAL,BATS,Energy,H0956,Product Launch,Benzinga,Positive,0.531,0.58,PFG
2025-07-07,09:10:06,CATX,NASDAQ,Utilities,H0957,Regulation,Social Media,Negative,0.441,0.52,
2025-07-07,12:34:28,FWRG,LSE,Technology,H0958,Regulation,WSJ,Neutral,0.724,0.98,TBIL;KTOS;EPI
2025-07-07,15:44:32,DIS,NYSE,Real Estate,H0959,Rumor,Bloomberg,Negative,0.741,0.89,DOX;FOXA;BXMT
2025-07-07,13:34:21,LC,NYSE,Telecom,H0960,Product Launch,Benzinga,Negative,0.705,0.79,ASAN;LBRT;JHG
2025-07-07,11:49:35,AMX,NYSE,Consumer Discretionary,H0961,M&A,Social Media,Negative,0.445,0.99,FRPT;PSNY
2025-07-07,12:57:26,SAND,BATS,Real Estate,H0962,Leadership Change,Social Media,Positive,0.973,0.82,DTM;TSLY;TLRY
2025-07-07,14:09:42,REM,LSE,Technology,H0963,Rumor,Reuters,Positive,0.893,0.82,ARVN;VWO;BHVN;BEPC
2025-07-07,09:26:38,RWM,NYSE MKT,Finance,H0964,Rumor,Bloomberg,Negative,0.725,0.95,
2025-07-07,16:49:13,AVUV,LSE,Telecom,H0965,Regulation,Benzinga,Neutral,0.329,0.55,GMED;XLV
2025-07-07,13:02:57,DNOW,NYSE,Healthcare,H0966,Regulation,Benzinga,Positive,0.483,0.87,PYLD;SDVY
2025-07-07,15:21:17,BIDU,NYSE ARCA,Healthcare,H0967,M&A,CNBC,Positive,0.813,0.56,IDEV;NKTR;PEP
2025-07-07,10:24:58,TGNA,BATS,Finance,H0968,Leadership Change,CNBC,Positive,0.1,0.89,ROBN;SBH;CVS;NU;BTOG
2025-07-07,14:06:38,LBTYK,NASDAQ,Industrial,H0969,Macroeconomic,Social Media,Negative,0.308,0.55,TROX
2025-07-07,16:51:07,MRC,LSE,Real Estate,H0970,Earnings,Social Media,Neutral,0.921,0.5,WNC;IONS;PRAA;GTES;SHOP
2025-07-07,10:27:31,OZK,NYSE ARCA,Utilities,H0971,Leadership Change,Reuters,Positive,0.659,0.54,
2025-07-07,09:20:29,SCCO,NYSE,Healthcare,H0972,Macroeconomic,WSJ,Positive,0.458,0.74,CNM;FUBO;DUHP;KKR;FSLR
2025-07-07,16:52:00,VKTX,NYSE ARCA,Utilities,H0973,Leadership Change,Reuters,Negative,0.557,0.7,
2025-07-07,11:29:22,CBOE,NASDAQ,Real Estate,H0974,Earnings,Social Media,Negative,0.425,0.81,
2025-07-07,09:21:21,FOXO,LSE,Healthcare,H0975,Product Launch,Reuters,Neutral,0.613,0.89,DGX;HTHT;NKE;MULN
2025-07-07,13:17:04,AOS,NYSE MKT,Technology,H0976,Product Launch,WSJ,Negative,0.787,0.75,IJR
2025-07-07,13:50:18,NUVB,NYSE MKT,Healthcare,H0977,Leadership Change,CNBC,Neutral,0.958,0.62,
2025-07-07,15:41:07,MCK,LSE,Finance,H0978,Earnings,Benzinga,Neutral,0.589,0.64,MCW;LINE;SCHB;REI
2025-07-07,09:50:12,SHLS,NYSE ARCA,Finance,H0979,Product Launch,Social Media,Negative,0.21,0.65,HL
2025-07-07,16:52:27,SPB,NYSE ARCA,Industrial,H0980,Rumor,Bloomberg,Negative,0.486,0.55,TSLT;CXM
2025-07-07,16:54:17,LNTH,NYSE MKT,Healthcare,H0981,M&A,WSJ,Positive,0.14,0.9,
2025-07-07,09:56:21,MGA,NYSE MKT,Real Estate,H0982,Regulation,Benzinga,Neutral,0.604,0.68,TLRY;QYLD
2025-07-07,09:41:07,VTEX,NYSE,Industrial,H0983,Regulation,Reuters,Neutral,0.727,0.54,PTON
2025-07-07,15:26:00,KOLD,NASDAQ,Telecom,H0984,M&A,Bloomberg,Negative,0.139,0.69,G;ROIV;VSTS;SVXY
2025-07-07,13:15:53,WRB,BATS,Energy,H0985,Leadership Change,WSJ,Neutral,0.42,0.76,IAUM
2025-07-07,14:28:24,IVW,NASDAQ,Real Estate,H0986,M&A,Reuters,Negative,0.812,0.78,AMX
2025-07-07,14:28:24,PDBC,NASDAQ,Real Estate,H0986,M&A,Reuters,Negative,0.812,0.78,ANET;SLDB;OTIS;GDX;MODG
2025-07-07,14:28:24,SDS,NASDAQ,Real Estate,H0986,M&A,Reuters,Negative,0.812,0.78,
2025-07-07,10:01:30,FDVV,LSE,Energy,H0987,Macroeconomic,Bloomberg,Positive,0.711,0.99,LTH;RYAAY;VRN;VIPS
2025-07-07,14:49:57,DIN,LSE,Energy,H0988,Product Launch,CNBC,Positive,0.908,0.7,SCHH;GTN;TNYA
2025-07-07,09:59:07,JETS,NYSE,Healthcare,H0989,Product Launch,CNBC,Neutral,0.674,0.85,ST;GRRR;MC;EOG;DPST
2025-07-07,16:23:53,TQQQ,LSE,Real Estate,H0990,Regulation,Benzinga,Negative,0.492,0.69,IAUM
2025-07-07,16:02:30,DD,NYSE ARCA,Industrial,H0991,Regulation,CNBC,Negative,0.837,0.99,
2025-07-07,15:56:38,PD,NYSE MKT,Real Estate,H0992,Leadership Change,WSJ,Positive,0.156,0.94,TKC
2025-07-07,12:28:04,EEM,LSE,Industrial,H0993,Regulation,Reuters,Neutral,0.569,0.78,MCW;KHC
2025-07-07,16:18:22,FOUR,NYSE ARCA,Energy,H0994,Rumor,CNBC,Negative,0.403,0.82,DEVS
2025-07-07,12:29:05,CHD,NYSE MKT,Energy,H0995,Macroeconomic,Social Media,Negative,0.283,0.61,ELAN;VCIT
2025-07-07,09:40:00,LYV,NYSE ARCA,Healthcare,H0996,M&A,Benzinga,Positive,0.829,0.75,IMUX
2025-07-07,16:00:12,JELD,NYSE ARCA,Consumer Discretionary,H0997,Earnings,Social Media,Positive,0.94,0.74,FCX;DIN
2025-07-07,10:01:09,NTNX,NYSE ARCA,Industrial,H0998,Regulation,Reuters,Neutral,0.854,0.51,TSLS;NTR;AVTR;ATHM
2025-07-07,13:44:34,CORZ,LSE,Finance,H0999,Earnings,Reuters,Positive,0.944,0.99,ROIV;STX;TT;SLV;EWH
2025-07-07,11:51:07,BTSG,NASDAQ,Industrial,H1000,M&A,Social Media,Negative,0.815,0.76,SNOW;TSLT
